label,n,logloss,brier,accuracy,elo_multiplier,best_model
OVERALL,47563,0.6126747586100763,0.21289540885578093,0.6549208418308349,0.9600000000000004,BLENDED MODEL
season = 2015,4305,0.595538492815254,0.2055507379314252,0.6706155632984901,0.9800000000000004,BLENDED MODEL
season = 2016,4396,0.6010723701319168,0.20743814337999242,0.671747042766151,0.9700000000000004,BLENDED MODEL
season = 2017,4299,0.6174233943637829,0.2143587492136548,0.6478250755989765,0.9200000000000004,BLENDED MODEL
season = 2018,4272,0.6194044890368107,0.2158427053087827,0.6444288389513109,0.9200000000000004,BLENDED MODEL
season = 2019,4149,0.6223267723037139,0.21691152162154884,0.6478669558929863,0.9300000000000004,BLENDED MODEL
season = 2020,2022,0.6080870057523277,0.2112585582524944,0.6592482690405539,1.0100000000000005,BLENDED MODEL
season = 2021,4045,0.6079713362261335,0.21082489970425655,0.6694684796044499,1.1500000000000006,BLENDED MODEL
season = 2022,4136,0.6186590359202689,0.21531756503120505,0.6457930367504836,0.9300000000000004,BLENDED MODEL
season = 2023,4221,0.6152456209267856,0.21428834005757433,0.6533996683250415,0.9400000000000004,BLENDED MODEL
season = 2024,4488,0.6127103314643461,0.21315922168270698,0.6561942959001783,0.9500000000000004,BLENDED MODEL
season = 2025,4040,0.6162956109160422,0.21477159783903968,0.6492574257425743,0.9400000000000004,BLENDED MODEL
season = 2026,3190,0.6168995330411637,0.2151173117660789,0.6413793103448275,0.9700000000000004,BLENDED MODEL
surface = Clay,13107,0.6157072687765356,0.21444495496572308,0.6471351186388953,1.0800000000000005,BLENDED MODEL
surface = Grass,5528,0.6164812235310625,0.21461316004973482,0.644356005788712,1.0900000000000005,Serve/return sim
surface = Hard,28927,0.6105727759055825,0.21186488547398352,0.6604556296885263,0.9100000000000004,BLENDED MODEL
tour = atp,24847,0.6072218174483248,0.21064161721242,0.6586308206222079,0.9600000000000004,BLENDED MODEL
tour = wta,22716,0.6186392430723954,0.21536062988776672,0.6508628279626695,0.9600000000000004,BLENDED MODEL
